,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CatRoomService,CatFoodCourt,CatShoppingMall,CatSpa,CatVRDeck,GroupSize,FamilySize,Europa,Earth,Mars,TRAPPIST-1e,PSO J318.5-22,55 Cancri e,Deck_B,Deck_F,Deck_A,Deck_G,Deck_E,Deck_D,Deck_C,Side_P,Side_S
0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,19,0,0,9,0,2823,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
3,0,38,0,0,6652,0,181,585,0,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
4,0,20,0,10,0,635,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5,0,31,0,0,1615,263,113,60,0,3,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6,1,21,0,0,717,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
7,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8,1,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,0,24,0,0,639,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
10,0,19,0,339,3,136,237,0,2,1,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
11,0,45,0,932,74,253,7,1010,2,1,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
12,0,44,0,0,1561,0,14,224,0,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
13,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
14,0,21,0,0,0,0,1687,92,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
15,0,27,0,0,0,0,903,368,0,0,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
16,0,20,0,2,12,253,457,690,1,1,1,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
17,1,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
18,0,29,0,0,7708,243,569,343,0,4,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,40,0,26,1925,8,3144,63,1,3,1,4,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
20,0,30,0,0,878,26,3,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
21,0,14,0,195,0,0,1609,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
22,1,31,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
23,0,27,0,0,6977,0,4,1235,0,4,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
24,0,66,0,39,6452,0,1409,155,1,4,0,3,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
25,0,24,0,1784,8,18,18,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
26,0,19,0,293,3495,5273,118,422,2,3,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
27,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
28,0,21,0,0,619,12,3,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
29,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
30,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
31,0,19,0,598,0,30,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
32,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
