,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CatRoomService,CatFoodCourt,CatShoppingMall,CatSpa,CatVRDeck,Transported,GroupSize,FamilySize,Europa,Earth,Mars,TRAPPIST-1e,PSO J318.5-22,55 Cancri e,Deck_B,Deck_F,Deck_A,Deck_G,Deck_E,Deck_D,Deck_C,Side_P,Side_S
0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,0,24,0,109,9,25,549,44,1,1,1,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2,0,58,1,43,3576,0,6715,49,1,3,0,4,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
3,0,33,0,0,1283,371,3329,193,0,2,1,4,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4,0,16,0,303,70,151,565,2,1,1,1,2,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5,0,44,0,0,483,0,291,0,0,1,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6,0,26,0,42,1539,3,0,0,1,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
7,1,28,0,0,0,0,0,-379,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
8,0,35,0,0,785,17,216,0,0,2,1,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
9,1,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
10,1,34,0,0,0,94,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
11,0,45,0,39,7295,589,110,124,1,4,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
12,0,32,0,73,0,1123,0,113,1,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
13,0,48,0,719,1,65,0,24,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
14,0,28,0,8,974,12,2,7,1,2,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
15,0,31,0,32,0,876,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,27,0,1286,122,375,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
17,0,24,0,0,1,0,0,637,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
18,1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
20,0,14,0,412,0,1,0,679,2,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
