CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CatRoomService,CatFoodCourt,CatShoppingMall,CatSpa,CatVRDeck,Transported,GroupSize,FamilySize,Europa,Earth,Mars,TRAPPIST-1e,PSO J318.5-22,55 Cancri e,Deck_B,Deck_F,Deck_A,Deck_G,Deck_E,Deck_D,Deck_C,Side_P,Side_S
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,24,0,109,9,25,549,44,1,1,1,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,58,1,43,3576,0,6715,49,1,3,0,4,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,33,0,0,1283,371,3329,193,0,2,1,4,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,16,0,303,70,151,565,2,1,1,1,2,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,44,0,0,483,0,291,0,0,1,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,26,0,42,1539,3,0,0,1,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,28,0,0,0,0,0,-379,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,35,0,0,785,17,216,0,0,2,1,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,34,0,0,0,94,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,45,0,39,7295,589,110,124,1,4,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,32,0,73,0,1123,0,113,1,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,48,0,719,1,65,0,24,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,28,0,8,974,12,2,7,1,2,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,31,0,32,0,876,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,27,0,1286,122,375,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,24,0,0,1,0,0,637,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,14,0,412,0,1,0,679,2,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,49,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1,29,0,0,0,-286,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,-71,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,21,0,980,2,69,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1,62,0,0,0,119,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,15,0,0,225,0,998,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,34,0,22,6073,0,1438,328,1,4,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,43,0,1125,0,136,48,0,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,32,0,0,850,81,437,453,0,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,47,0,214,0,1411,0,1229,1,0,3,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,20,0,307,0,1750,990,0,0,0,3,3,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,23,0,784,964,0,951,0,2,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,15,0,0,492,48,20,401,0,2,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,20,0,554,195,0,2606,0,2,1,0,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,30,0,0,0,-166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,45,0,0,164,45,2511,855,0,1,1,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,21,0,970,0,180,0,64,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,35,0,790,0,0,178,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,56,0,0,112,0,1379,127,0,1,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,30,0,4,0,2,4683,0,1,0,1,4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,25,0,0,0,1938,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,38,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,27,0,279,605,3374,286,3,1,2,3,2,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
0,22,0,45,1096,148,1377,1,1,2,1,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,62,0,0,592,0,17,25,0,2,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,33,0,0,0,-30,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,62,0,1,153,197,0,460,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
0,18,0,1,258,446,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,21,0,1946,37,0,0,24,2,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,35,0,793,0,2,253,0,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,42,0,887,0,9,6,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,19,0,190,0,5,1,726,1,0,1,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,17,0,16,2165,0,0,52,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,14,0,0,1,0,0,1063,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
